country,city,location,coordinates,measurements_parameter,measurements_sourcename,measurements_unit,measurements_value,measurements_lastupdated,country_name_en
DE,Suhl,Schmücke,"{'lon': 10.76953400035172, 'lat': 50.65406600025244}",NO2,eea,µg/m³,0.75,2024-07-30T12:00:00+02:00,Germany
DE,Andrea Schemmel,NET.DE_HB,"{'lon': 8.735047, 'lat': 53.12456099999999}",PM10,EEA Germany,µg/m³,43.43,2024-03-04T10:00:00+01:00,Germany
DE,Manfred Lotz,NET.DE_BB,"{'lon': 14.057063999999999, 'lat': 51.89759800000001}",O3,EEA Germany,µg/m³,24.0,2024-03-04T10:00:00+01:00,Germany
DE,Margit von Döhren,NET.DE_RP,"{'lon': 8.3649, 'lat': 49.62869999999999}",O3,EEA Germany,µg/m³,23.17940521,2024-03-04T10:00:00+01:00,Germany
DE,ATMO GRAND EST,NET-FR075A,"{'lon': 6.9574440000000015, 'lat': 49.195389999999996}",NO2,EEA France,µg/m³,3.9,2024-02-01T00:00:00+01:00,Germany
DE,Bayern,DEBY079,"{'lon': 12.858856, 'lat': 47.723186}",O3,EEA Germany,µg/m³,4.54,2024-01-29T20:00:00+01:00,Germany
DE,Berlin,DEBE063,"{'lon': 13.441654, 'lat': 52.467534}",NO2,EEA Germany,µg/m³,33.92,2023-12-31T22:00:00+01:00,Germany
DE,Berlin,DEBE063,"{'lon': 13.441654, 'lat': 52.467534}",PM2.5,EEA Germany,µg/m³,41.34,2023-12-31T22:00:00+01:00,Germany
DE,Brandenburg,DEBB060,"{'lon': 13.822211000000001, 'lat': 52.832467}",NO2,EEA Germany,µg/m³,19.0,2023-12-31T22:00:00+01:00,Germany
DE,,DESL010,"{'lon': 6.948776, 'lat': 49.244247}",NO2,EEA Germany,µg/m³,19.55,2021-12-21T02:00:00+01:00,Germany
DE,,DESN019,"{'lon': 12.542056, 'lat': 50.826001}",PM10,EEA Germany,µg/m³,17.2,2021-01-05T01:00:00+01:00,Germany
DE,Villingen-Schwenningen,Villingen-Schwenningen,"{'lon': 8.463596999825029, 'lat': 48.04865600024051}",NO,eea,µg/m³,1.7,2024-03-11T12:00:00+01:00,Germany
DE,Villingen-Schwenningen,Villingen-Schwenningen,"{'lon': 8.463596999825029, 'lat': 48.04865600024051}",O3,eea,µg/m³,48.78,2024-09-14T23:00:00+02:00,Germany
DE,Eisenhüttenstadt,Eisenhüttenstadt,"{'lon': 14.63816600029276, 'lat': 52.14626399984409}",CO,eea,µg/m³,250.0,2024-03-11T12:00:00+01:00,Germany
DE,Wildau,Wildau,"{'lon': 13.621246000090599, 'lat': 52.32403299995438}",SO2,eea,µg/m³,1.0,2024-09-15T00:00:00+02:00,Germany
DE,Mannheim,Mannheim-Nord,"{'lon': 8.465280999622944, 'lat': 49.54407799985856}",NO,eea,µg/m³,2.5,2024-03-11T12:00:00+01:00,Germany
DE,Ulm,Ulm,"{'lon': 9.979030999727886, 'lat': 48.396835999832305}",SO2,eea,µg/m³,2.0,2017-01-06T10:00:00+01:00,Germany
DE,Kehl,Kehl,"{'lon': 7.802316999571487, 'lat': 48.578177999862866}",PM10,eea,µg/m³,5.8,2024-09-15T00:00:00+02:00,Germany
DE,Kehl,Kehl,"{'lon': 7.802316999571487, 'lat': 48.578177999862866}",NO,eea,µg/m³,1.7,2024-03-11T12:00:00+01:00,Germany
